year,title,genre,worldwide_box_office,production_budget,theatre_count,duration,title_length,market_potential
7.601402334583733,Bakha Satang,Drama,11.246052049544689,16.811242881518265,2.1972245773362196,4.867534450455582,2.5649493574615367,18.8906843794481
7.601402334583733,Santitos,Unknown,13.071749851921535,16.811242881518265,2.1972245773362196,4.663439094112067,2.1972245773362196,18.8906843794481
7.602401335665818,Frank McKlusky C.I.,Unknown,13.071749851921535,16.811242881518265,2.1972245773362196,4.584967478670572,2.995732273553991,18.8906843794481
7.602401335665818,A Walk to Remember,Drama,17.645474166901625,16.213405921671733,7.788211557847076,4.584967478670572,2.9444389791664403,24.001202708981523
7.602401335665818,Zig Zag,Unknown,13.071749851921535,16.811242881518265,0.6931471805599453,4.584967478670572,2.0794415416798357,16.811242881518265
7.602401335665818,TakhtÃƒÂ© siah,Drama,13.071749851921535,16.811242881518265,1.791759469228055,4.584967478670572,2.70805020110221,18.420680753952364
7.605890001053122,"Angry Monk: Reflections on Tibet, The",Documentary,13.071749851921535,16.811242881518265,0.6931471805599453,4.584967478670572,3.6375861597263857,16.811242881518265
7.602401335665818,30 Years to Life,Comedy,13.071749851921535,16.811242881518265,0.6931471805599453,4.584967478670572,2.833213344056216,16.811242881518265
7.605392364814935,The Killing of John Lennon,Drama,13.071749851921535,16.811242881518265,0.6931471805599453,4.584967478670572,3.295836866004329,16.811242881518265
7.605392364814935,Little Chenier,Drama,13.071749851921535,16.811242881518265,2.8903717578961645,4.584967478670572,2.70805020110221,19.644456178515657
7.605392364814935,Over Her Dead Body,Comedy,16.88802214317963,16.118095750958314,7.589841512182657,4.564348191467836,2.9444389791664403,23.70743147417952
7.605392364814935,O Ano em Que Meus Pais SaÃƒÂ­ram de FÃƒÂ©rias,Drama,14.773755954645434,16.811242881518265,2.9444389791664403,4.6443908991413725,3.828641396489095,19.701614592192207
7.605392364814935,120,Drama,14.103846166814613,16.811242881518265,2.1972245773362196,4.74493212836325,1.3862943611198906,18.8906843794481
7.605392364814935,A Lawyer Walks into a Bar,Documentary,13.071749851921535,16.811242881518265,0.6931471805599453,4.584967478670572,3.258096538021482,16.811242881518265
7.605392364814935,La Rondine,Concert/Performance,13.071749851921535,16.811242881518265,2.1972245773362196,4.672828834461906,2.3978952727983707,18.8906843794481
7.60688453121963,Pariah,Drama,13.071749851921535,16.811242881518265,1.6094379124341003,4.465908118654584,1.9459101490553132,18.197537205138154
7.60688453121963,Habemus Papam,Comedy,16.157708210406735,16.811242881518265,1.3862943611198906,4.653960350157523,2.6390573296152584,17.909855136853043
7.60688453121963,Ivan Tsarevich i Seryy Volk,Action,17.036293682778986,16.811242881518265,2.1972245773362196,4.330733340286331,3.332204510175204,18.8906843794481
7.60688453121963,El Sicario Room 164,Documentary,13.071749851921535,16.811242881518265,2.1972245773362196,4.394449154672439,2.995732273553991,18.8906843794481
7.60688453121963,Angels Crest,Drama,7.61972421378267,16.811242881518265,0.6931471805599453,4.574710978503383,2.5649493574615367,16.811242881518265
7.60688453121963,Paranormal Xperience,Horror,14.849669655187464,16.811242881518265,2.1972245773362196,4.51085950651685,3.044522437723423,18.8906843794481
7.60688453121963,Miss Minoes,Adventure,13.071749851921535,16.811242881518265,1.3862943611198906,4.584967478670572,2.4849066497880004,17.909855136853043
7.608374474380783,Minuscule - La vallÃƒÂ©e des fourmis perdues,Adventure,13.87232368997909,16.811242881518265,2.1972245773362196,4.499809670330265,3.8066624897703196,18.8906843794481
7.60688453121963,Kiseki,Drama,13.723569595965913,16.811242881518265,1.791759469228055,4.859812404361672,1.9459101490553132,18.420680753952364
7.60688453121963,In The Land of Blood and Honey,Drama,13.14058436240665,16.380459992348886,1.3862943611198906,4.584967478670572,3.4339872044851463,17.479072229734946
7.60688453121963,Prince of the Himalayas,Drama,13.071749851921535,16.811242881518265,2.1972245773362196,4.584967478670572,3.1780538303479458,18.8906843794481
7.60688453121963,Don 2,Action,17.34343136470695,16.811242881518265,5.087596335232384,5.003946305945459,1.791759469228055,21.892647196813286
7.608374474380783,We Are the Giant,Documentary,13.071749851921535,16.811242881518265,1.0986122886681098,4.51085950651685,2.833213344056216,17.50439003707821
7.608374474380783,Wang Pai,Drama,15.339390799901627,16.811242881518265,2.1972245773362196,4.51085950651685,2.1972245773362196,18.8906843794481
7.60887062919126,The Young Kieslowski,Romantic Comedy,13.071749851921535,16.811242881518265,2.1972245773362196,4.574710978503383,3.044522437723423,18.8906843794481
7.60887062919126,Last Cab to Darwin,Drama,15.577006333239652,16.811242881518265,0.6931471805599453,4.820281565605037,2.9444389791664403,16.811242881518265
7.60887062919126,Ghadi,Comedy,11.158391085530607,16.811242881518265,2.1972245773362196,4.61512051684126,1.791759469228055,18.8906843794481
7.60887062919126,Fair Play,Drama,9.076580381796658,16.811242881518265,2.1972245773362196,4.61512051684126,2.302585092994046,18.8906843794481
7.60887062919126,Meru,Documentary,14.67027518680988,16.811242881518265,2.0794415416798357,4.499809670330265,1.6094379124341003,18.757152987716434
7.60887062919126,Station to Station,Documentary,9.262078567380597,16.811242881518265,0.6931471805599453,4.2626798770413155,2.9444389791664403,16.811242881518265
7.60887062919126,Atrapa la bandera,Adventure,16.866270975165243,16.811242881518265,2.1972245773362196,4.584967478670572,2.8903717578961645,18.8906843794481
7.60887062919126,Alma,Romantic Comedy,13.249186318601398,16.811242881518265,2.1972245773362196,4.584967478670572,1.6094379124341003,18.8906843794481
